manual_score_id,manual_file_path,manual_source_row,sample_id,case_id,source_item_id,model_name,dataset_version,prompt_style,identity_candidate_count,row_order_candidate_count,metadata_filtered_candidate_count,eligible_candidate_count,candidate_model_response_ids,ambiguity_reason
146,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
147,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
148,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
149,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
150,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
151,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
152,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
153,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
154,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
155,docs/failure_audits/v3_behaviour_evidence_strength_trap_expansion_v1_structured_qwen-2.5-7b-instruct_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,qwen-2.5-7b-instruct,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
156,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,2,mri-behaviour-v3-001-strong,school_ai_tutoring_strength_001,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
157,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,3,mri-behaviour-v3-001-weak,school_ai_tutoring_strength_001,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
158,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,4,mri-behaviour-v3-001-irrelevant,school_ai_tutoring_strength_001,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
159,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,5,mri-behaviour-v3-002-strong,workplace_safety_wearables_strength_002,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
160,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,6,mri-behaviour-v3-002-weak,workplace_safety_wearables_strength_002,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
161,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,7,mri-behaviour-v3-002-irrelevant,workplace_safety_wearables_strength_002,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
162,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,8,mri-behaviour-v3-003-strong,predictive_policing_resource_allocation_strength_003,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
163,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,9,mri-behaviour-v3-003-weak,predictive_policing_resource_allocation_strength_003,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
164,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,10,mri-behaviour-v3-003-irrelevant,predictive_policing_resource_allocation_strength_003,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
165,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,11,mri-behaviour-v3-004-strong,housing_allocation_algorithm_strength_004,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
166,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,12,mri-behaviour-v3-004-weak,housing_allocation_algorithm_strength_004,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
167,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,13,mri-behaviour-v3-004-irrelevant,housing_allocation_algorithm_strength_004,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
168,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,14,mri-behaviour-v3-005-strong,sensitive_research_data_access_strength_005,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
169,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,15,mri-behaviour-v3-005-weak,sensitive_research_data_access_strength_005,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
170,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,16,mri-behaviour-v3-005-irrelevant,sensitive_research_data_access_strength_005,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
171,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,17,mri-behaviour-v3-006-strong,content_moderation_misinformation_strength_006,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
172,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,18,mri-behaviour-v3-006-weak,content_moderation_misinformation_strength_006,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
173,docs/failure_audits/v3_behaviour_evidence_strength_v1_manual_scores.csv,19,mri-behaviour-v3-006-irrelevant,content_moderation_misinformation_strength_006,,gpt-4o-mini,v3_evidence_strength_v1,,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
246,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
247,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
248,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
249,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
250,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
251,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
252,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
253,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
254,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
255,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
256,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
257,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_natural_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
258,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
259,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
260,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
261,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
262,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
263,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
264,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
265,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
266,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
267,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
268,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
269,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_claude-sonnet-latest_structured_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,claude-sonnet-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
270,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
271,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
272,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
273,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
274,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
275,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
276,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
277,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
278,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
279,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
280,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
281,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_natural_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
282,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
283,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
284,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
285,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
286,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
287,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
288,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
289,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
290,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
291,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
292,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
293,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gemini-pro-latest_structured_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gemini-pro-latest,v3_evidence_strength_trap_expansion_v1_structured,structured,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
294,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,2,mri-behaviour-v3-007-irrelevant,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
295,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,3,mri-behaviour-v3-007-strong,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
296,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,4,mri-behaviour-v3-007-weak,workplace_wellbeing_analytics_strength_007,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
297,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,5,mri-behaviour-v3-008-irrelevant,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
298,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,6,mri-behaviour-v3-008-strong,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
299,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,7,mri-behaviour-v3-008-weak,consumer_credit_pricing_strength_008,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
300,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,8,mri-behaviour-v3-009-irrelevant,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
301,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,9,mri-behaviour-v3-009-strong,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
302,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,10,mri-behaviour-v3-009-weak,welfare_fraud_flagging_strength_009,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
303,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,11,mri-behaviour-v3-010-irrelevant,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
304,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,12,mri-behaviour-v3-010-strong,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
305,docs/failure_audits/v3_behaviour_trap_expansion_v1_phase2_gpt-5.5_natural_manual_scores.csv,13,mri-behaviour-v3-010-weak,aged_care_room_sensors_strength_010,,gpt-5.5,v3_evidence_strength_trap_expansion_v1,natural,24,0,0,0,,multiple identity candidates; refusing to match by case_id/sample_id alone
